	strain	accession_version	strain_name	date	region	country	division	location	length	host_scientific	date_released	date_updated	sra_accessions	authors	abbr_authors	institution	host
67	KF961221	KF961221.1	Qatar3	2013-10-13	Asia	Qatar			30090	Homo sapiens	2013-12-23	2014-01-24		Haagmans,B.L.,Al Dhahiry,S.H.,Reusken,C.B.,Raj,V.S.,Galiano,M.,Myers,R.,Godeke,G.J.,Jonges,M.,Farag,E.,Diab,A.,Ghobashy,H.,Alhajri,F.,Al-Thani,M.,Al-Marri,S.A.,Al Romaihi,H.E.,Al Khal,A.,Bermingham,A.,Osterhaus,A.D.,Alhajri,M.M.,Koopmans,M.P.,Ledesma,J.,Lythgow,K.,Sadler,C.,Omeng-Kumi,N.,Ellis,J.,Al-Marri,S.,Al-Romaihi,H.,Al-Khal,A.,Al-Dhahiry,S.,Al-Hajri,M.	Haagmans et al	Public Health England, Viral Reference Department	Human
68	KF961222	KF961222.1	Qatar4	2013-10-17	Asia	Qatar			30086	Homo sapiens	2013-12-23	2014-01-24		Haagmans,B.L.,Al Dhahiry,S.H.,Reusken,C.B.,Raj,V.S.,Galiano,M.,Myers,R.,Godeke,G.J.,Jonges,M.,Farag,E.,Diab,A.,Ghobashy,H.,Alhajri,F.,Al-Thani,M.,Al-Marri,S.A.,Al Romaihi,H.E.,Al Khal,A.,Bermingham,A.,Osterhaus,A.D.,Alhajri,M.M.,Koopmans,M.P.,Ledesma,J.,Lythgow,K.,Sadler,C.,Omeng-Kumi,N.,Ellis,J.,Al-Marri,S.,Al-Romaihi,H.,Al-Khal,A.,Al-Dhahiry,S.,Al-Hajri,M.	Haagmans et al	Public Health England, Viral Reference Department	Human
98	KJ156888	KJ156888.1	Riyadh_13a_2013	2013-08-13	Asia	Saudi Arabia			18853	Homo sapiens	2014-02-06	2014-03-21		Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Cotten et al	Kingdom of Saudi Arabia Ministry of Health	Human
130	KJ156920	KJ156920.1	Riyadh_17b_2013	2013-08-26	Asia	Saudi Arabia			7144	Homo sapiens	2014-02-06	2014-03-21		Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Cotten et al	Kingdom of Saudi Arabia Ministry of Health	Human
132	KJ156922	KJ156922.1	Taif_3c_2013	2013-06-13	Asia	Saudi Arabia			6325	Homo sapiens	2014-02-06	2014-03-21		Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Cotten et al	Kingdom of Saudi Arabia Ministry of Health	Human
151	KJ156941	KJ156941.1	Al-Hasa_26b_2013	2013-06-18	Asia	Saudi Arabia			18545	Homo sapiens	2014-02-06	2014-03-21		Cotten,M.,Watson,S.J.,Zumla,A.I.,Makhdoom,H.Q.,Palser,A.L.,Ong,S.H.,Al Rabeeah,A.A.,Alhakeem,R.F.,Assiri,A.,Al-Tawfiq,J.A.,Albarrak,A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Balkhy,H.H.,Flemban,H.,Rambaut,A.,Kellam,P.,Memish,Z.A.,Zumla,A.	Cotten et al	Kingdom of Saudi Arabia Ministry of Health	Human
165	KJ361499	KJ361499.1	Hu-France (UAE) - FRA1_1627-2013_BAL_HTS	2013-04-26	Europe	France			29780	Homo sapiens	2015-03-10	2015-03-10		Ar Gouilh,M.,Thiberge,J.M.,Diancourt,L.,Vandenbogaert,M.,Briand,D.,Batejat,C.,Coralie,G.,Rousseau,C.,Fichenick,F.,van der Werf,S.,Burguiere,A.,Enouf,V.,Manuguerra,J.C.,Caro,V.	Ar Gouilh et al	Insitut Pasteur, Infection & Epidemiology - Unit of Research and Expertise Environment and Infectious Risks	Human
166	KJ361500	KJ361500.1	Hu-France (UAE) - FRA1_1627-2013_BAL_Sanger	2013-04-26	Europe	France			29267	Homo sapiens	2015-03-10	2015-03-10		Ar Gouilh,M.,Thiberge,J.M.,Diancourt,L.,Vandenbogaert,M.,Briand,D.,Batejat,C.,Coralie,G.,Rousseau,C.,Fichenick,F.,van der Werf,S.,Burguiere,A.,Enouf,V.,Manuguerra,J.C.,Caro,V.	Ar Gouilh et al	Insitut Pasteur, Infection & Epidemiology - Unit of Research and Expertise Environment and Infectious Risks	Human
167	KJ361501	KJ361501.1	Hu-France - FRA2_130569-2013_IS_HTS	2013-05-07	Europe	France			29880	Homo sapiens	2015-03-10	2015-03-10		Ar Gouilh,M.,Thiberge,J.M.,Diancourt,L.,Vandenbogaert,M.,Briand,D.,Batejat,C.,Coralie,G.,Rousseau,C.,Fichenick,F.,van der Werf,S.,Burguiere,A.,Enouf,V.,Manuguerra,J.C.,Caro,V.	Ar Gouilh et al	Insitut Pasteur, Infection & Epidemiology - Unit of Research and Expertise Environment and Infectious Risks	Human
168	KJ361502	KJ361502.1	Hu-France - FRA2_130569-2013_InSpu_Sanger	2013-05-07	Europe	France			29783	Homo sapiens	2015-03-10	2015-03-10		Ar Gouilh,M.,Thiberge,J.M.,Diancourt,L.,Vandenbogaert,M.,Briand,D.,Batejat,C.,Coralie,G.,Rousseau,C.,Fichenick,F.,van der Werf,S.,Burguiere,A.,Enouf,V.,Manuguerra,J.C.,Caro,V.	Ar Gouilh et al	Insitut Pasteur, Infection & Epidemiology - Unit of Research and Expertise Environment and Infectious Risks	Human
169	KJ361503	KJ361503.1	Hu-France - FRA2_130569-2013_Isolate_Sanger	2013-05-07	Europe	France			30040	Homo sapiens	2015-03-10	2015-03-10		Ar Gouilh,M.,Thiberge,J.M.,Diancourt,L.,Vandenbogaert,M.,Briand,D.,Batejat,C.,Coralie,G.,Rousseau,C.,Fichenick,F.,van der Werf,S.,Burguiere,A.,Enouf,V.,Manuguerra,J.C.,Caro,V.	Ar Gouilh et al	Insitut Pasteur, Infection & Epidemiology - Unit of Research and Expertise Environment and Infectious Risks	Human
187	KJ477102	KJ477102.1	NRCE-HKU205	2013-XX-XX	Africa	Egypt			29908	Camelus dromedarius	2014-03-04	2014-05-29		Chu,D.K.,Poon,L.L.,Gomaa,M.M.,Shehata,M.M.,Perera,R.A.,Abu Zeid,D.,El Rifay,A.S.,Siu,L.Y.,Guan,Y.,Webby,R.J.,Ali,M.A.,Peiris,M.,Kayali,G.,Chu,D.K.W.,Poon,L.L.M.,Ali,M.,Peiris,M.J.S.	Chu et al	The University of Hong Kong, School of Public Health	Camel
188	KJ477103	KJ477103.2	NRCE-HKU270	2013-XX-XX	Africa	Egypt			30101	Camelus dromedarius	2014-03-04	2019-07-08		Chu,D.K.,Poon,L.L.,Gomaa,M.M.,Shehata,M.M.,Perera,R.A.,Abu Zeid,D.,El Rifay,A.S.,Siu,L.Y.,Guan,Y.,Webby,R.J.,Ali,M.A.,Peiris,M.,Kayali,G.,Chan,R.W.,Hemida,M.G.,Alnaeem,A.,Tao,K.P.,Ng,H.Y.,Chan,M.C.,Nicholls,J.M.,Peiris,J.S.,Chu,D.K.W.,Poon,L.L.M.,Ali,M.,Peiris,M.J.S.	Chu et al	The University of Hong Kong, School of Public Health	Camel
189	KJ556336	KJ556336.1	Jeddah_1_2013	2013-11-06	Asia	Saudi Arabia			29890	Homo sapiens	2014-03-24	2014-05-29		Memish,Z.A.,Cotten,M.,Meyer,B.,Watson,S.J.,Alsahafi,A.J.,Al Rabeeah,A.A.,Corman,V.M.,Sieberg,A.,Makhdoom,H.Q.,Assiri,A.,Al Masri,M.,Aldabbagh,S.,Bosch,B.J.,Beer,M.,Muller,M.A.,Kellam,P.,Drosten,C.,Palser,A.L.,Zumla,A.	Memish et al	Ministry of Health, Kingdom of Saudi Arabia	Human
204	KJ614529	KJ614529.1	MG167						30094		2014-05-04	2014-06-18		Frey,K.G.,Redden,C.L.,Bishop-Lilly,K.A.,Johnson,R.,Hensley,L.E.,Raviprakash,K.,Luke,T.,Kochel,T.,Mokashi,V.P.,Defang,G.N.,Hensley,L.,Kanakette,R.	Frey et al	Naval Medical Research Center-Frederick, BDRD Genomics	Bat
205	KJ650098	KJ650098.1	Camel/Qatar_2_2014	2014-02-16	Asia	Qatar			30117	Camelus dromedarius	2014-05-05	2014-09-11		Raj,V.S.,Farag,E.A.,Reusken,C.B.,Lamers,M.M.,Pas,S.D.,Voermans,J.,Smits,S.L.,Osterhaus,A.D.,Al-Mawlawi,N.,Al-Romaihi,H.E.,AlHajri,M.M.,El-Sayed,A.M.,Mohran,K.A.,Ghobashy,H.,Alhajri,F.,Al-Thani,M.,Al-Marri,S.A.,El-Maghraby,M.M.,Koopmans,M.P.,Haagmans,B.L.,Stalin Raj,V.,Farag,E.A.B.A.,Reusken,C.B.E.M.,Koopmans,M.P.G.	Raj et al	Erasmus Medical Center, Department of Viroscience	Camel
206	KJ650295	KJ650295.1	KFU-HKU 13	2013-12-30	Asia	Saudi Arabia			30100	Camelus dromedarius	2014-04-22	2014-07-24		Hemida,M.G.,Chu,D.K.,Poon,L.L.,Perera,R.A.,Alhammadi,M.A.,Ng,H.Y.,Siu,L.Y.,Guan,Y.,Alnaeem,A.,Peiris,M.,Chu,D.K.W.,Poon,L.L.M.,Ng,H.	Hemida et al	The University of Hong Kong, School of Public Health	Camel
207	KJ650296	KJ650296.1	KFU-HKU 19Dam	2013-12-30	Asia	Saudi Arabia			30099	Camelus dromedarius	2014-04-22	2014-07-24		Hemida,M.G.,Chu,D.K.,Poon,L.L.,Perera,R.A.,Alhammadi,M.A.,Ng,H.Y.,Siu,L.Y.,Guan,Y.,Alnaeem,A.,Peiris,M.,Chu,D.K.W.,Poon,L.L.M.,Ng,H.	Hemida et al	The University of Hong Kong, School of Public Health	Camel
208	KJ650297	KJ650297.1	KFU-HKU 1	2013-11-30	Asia	Saudi Arabia			30105	Camelus dromedarius	2014-04-22	2014-07-24		Hemida,M.G.,Chu,D.K.,Poon,L.L.,Perera,R.A.,Alhammadi,M.A.,Ng,H.Y.,Siu,L.Y.,Guan,Y.,Alnaeem,A.,Peiris,M.,Chu,D.K.W.,Poon,L.L.M.,Ng,H.	Hemida et al	The University of Hong Kong, School of Public Health	Camel
209	KJ713295	KJ713295.1	KSA-CAMEL-505	2013-11-XX	Asia	Saudi Arabia			30113	Camelus dromedarius	2014-05-04	2014-05-04		Briese,T.,Mishra,N.,Jain,K.,Zalmout,I.S.,Jabado,O.J.,Karesh,W.B.,Daszak,P.,Mohammed,O.B.,Alagaili,A.N.,Lipkin,W.I.	Briese et al	The Center for Infection and Immunity, Mailman School of Public Health, Columbia University	Camel
210	KJ713296	KJ713296.1	KSA-CAMEL-378	2013-11-XX	Asia	Saudi Arabia			30113	Camelus dromedarius	2014-05-04	2014-05-04		Briese,T.,Mishra,N.,Jain,K.,Zalmout,I.S.,Jabado,O.J.,Karesh,W.B.,Daszak,P.,Mohammed,O.B.,Alagaili,A.N.,Lipkin,W.I.	Briese et al	The Center for Infection and Immunity, Mailman School of Public Health, Columbia University	Camel
211	KJ713297	KJ713297.1	KSA-CAMEL-503	2013-11-XX	Asia	Saudi Arabia			30114	Camelus dromedarius	2014-05-04	2014-05-04		Briese,T.,Mishra,N.,Jain,K.,Zalmout,I.S.,Jabado,O.J.,Karesh,W.B.,Daszak,P.,Mohammed,O.B.,Alagaili,A.N.,Lipkin,W.I.	Briese et al	The Center for Infection and Immunity, Mailman School of Public Health, Columbia University	Camel
212	KJ713298	KJ713298.1	KSA-CAMEL-363	2013-11-XX	Asia	Saudi Arabia			30083	Camelus dromedarius	2014-05-04	2014-05-04		Briese,T.,Mishra,N.,Jain,K.,Zalmout,I.S.,Jabado,O.J.,Karesh,W.B.,Daszak,P.,Mohammed,O.B.,Alagaili,A.N.,Lipkin,W.I.	Briese et al	The Center for Infection and Immunity, Mailman School of Public Health, Columbia University	Camel
213	KJ713299	KJ713299.1	KSA-CAMEL-376	2013-11-XX	Asia	Saudi Arabia			30116	Camelus dromedarius	2014-05-04	2014-05-04		Briese,T.,Mishra,N.,Jain,K.,Zalmout,I.S.,Jabado,O.J.,Karesh,W.B.,Daszak,P.,Mohammed,O.B.,Alagaili,A.N.,Lipkin,W.I.	Briese et al	The Center for Infection and Immunity, Mailman School of Public Health, Columbia University	Camel
220	KJ782549	KJ782549.1	KJ782549	2014-04-18	Europe	Greece			4062	Homo sapiens	2014-05-13	2014-05-13		Tsiodras,S.,Baka,A.,Mentis,A.,Iliopoulos,D.,Dedoukou,X.,Papamavrou,G.,Karadima,S.,Emmanouil,M.,Kossyvakis,A.,Spanakis,N.,Pavli,A.,Maltezou,H.,Karageorgou,A.,Spala,G.,Pitiriga,V.,Kosmas,E.,Tsiagklis,S.,Gkatzias,S.,Koulouris,N.,Koutsoukou,A.,Bakakos,P.,Markozanhs,E.,Dionellis,G.,Pontikis,K.,Rovina,N.,Kyriakopoulou,M.,Efstathiou,P.,Papadimitriou,T.,Kremastinou,J.,Tsakris,A.,Saroglou,G.,Tao,Y.,Lu,X.,Kossivakis,A.,Pogka,V.,Tong,S.,Erdman,D.,Antoniadis,A.	Tsiodras et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
222	KJ813439	KJ813439.1	KJ813439	2014-04-30	North America	USA			30123	Homo sapiens	2014-05-13	2015-09-29		Kapoor,M.,Pringle,K.,Kumar,A.,Dearth,S.,Liu,L.,Lovchik,J.,Perez,O.,Pontones,P.,Richards,S.,Yeadon-Fagbohun,J.,Breakwell,L.,Chea,N.,Cohen,N.J.,Schneider,E.,Erdman,D.,Haynes,L.,Pallansch,M.,Tao,Y.,Tong,S.,Gerber,S.,Swerdlow,D.,Feikin,D.R.,Li,Y.,Lu,X.,Dalton,L.,Queen,K.,Sakthivel,S.,Paden,C.,Patel,P.,Gerber,S.I.	Kapoor et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
223	KJ829365	KJ829365.1	KJ829365	2014-05-10	North America	USA			30123	Homo sapiens	2014-05-14	2014-05-16		Tao,Y.,Queen,K.,Li,Y.,Lu,X.,Sakthivel,S.,Gerber,S.I.,Cannons,A.,Crespo,A.,Matthews,S.D.,Heberlein-Larson,L.,Aguilera,A.,Erdman,D.,Tong,S.	Tao et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
230	KM015348	KM015348.1	England/2/2013	2013-02-10	Europe	United Kingdom			30042	Homo sapiens	2014-06-18	2014-06-19		Galiano,M.,Myers,R.,Bermingham,A.,Gopal,R.,Zambon,M.	Galiano et al	Microbiology Services, Public Health England, Virus Reference Department	Human
235	KM027259	KM027259.1	Jeddah_C9055/KSA/2014-04-14	2014-04-14	Asia	Saudi Arabia			29918	Homo sapiens	2014-11-12	2015-09-29		Drosten,C.,Muth,D.,Corman,V.M.,Hussain,R.,Al Masri,M.,HajOmar,W.,Landt,O.,Assiri,A.,Eckerle,I.,Al Shangiti,A.,Al-Tawfiq,J.A.,Albarrak,A.,Zumla,A.,Rambaut,A.,Memish,Z.A.,Memish,Z.	Drosten et al	University of Bonn Medical Centre, Institute of Virology	Human
243	KM027267	KM027267.1	Jeddah_C7319/KSA/2014	2014-XX-XX	Asia	Saudi Arabia			4062	Homo sapiens	2014-11-12	2015-09-29		Drosten,C.,Muth,D.,Corman,V.M.,Hussain,R.,Al Masri,M.,HajOmar,W.,Landt,O.,Assiri,A.,Eckerle,I.,Al Shangiti,A.,Al-Tawfiq,J.A.,Albarrak,A.,Zumla,A.,Rambaut,A.,Memish,Z.A.,Memish,Z.	Drosten et al	University of Bonn Medical Centre, Institute of Virology	Human
244	KM027268	KM027268.1	Jeddah_C7554/KSA/2014	2014-XX-XX	Asia	Saudi Arabia			4062	Homo sapiens	2014-11-12	2015-09-29		Drosten,C.,Muth,D.,Corman,V.M.,Hussain,R.,Al Masri,M.,HajOmar,W.,Landt,O.,Assiri,A.,Eckerle,I.,Al Shangiti,A.,Al-Tawfiq,J.A.,Albarrak,A.,Zumla,A.,Rambaut,A.,Memish,Z.A.,Memish,Z.	Drosten et al	University of Bonn Medical Centre, Institute of Virology	Human
254	KM027278	KM027278.1	Riyadh_2014KSA_057/KSA/2014	2014-XX-XX	Asia	Saudi Arabia			4062	Homo sapiens	2014-11-12	2015-09-29		Drosten,C.,Muth,D.,Corman,V.M.,Hussain,R.,Al Masri,M.,HajOmar,W.,Landt,O.,Assiri,A.,Eckerle,I.,Al Shangiti,A.,Al-Tawfiq,J.A.,Albarrak,A.,Zumla,A.,Rambaut,A.,Memish,Z.A.,Memish,Z.	Drosten et al	University of Bonn Medical Centre, Institute of Virology	Human
258	KM027282	KM027282.1	Riyadh_2014KSA_166/KSA/2014	2014-XX-XX	Asia	Saudi Arabia			4062	Homo sapiens	2014-11-12	2015-09-29		Drosten,C.,Muth,D.,Corman,V.M.,Hussain,R.,Al Masri,M.,HajOmar,W.,Landt,O.,Assiri,A.,Eckerle,I.,Al Shangiti,A.,Al-Tawfiq,J.A.,Albarrak,A.,Zumla,A.,Rambaut,A.,Memish,Z.A.,Memish,Z.	Drosten et al	University of Bonn Medical Centre, Institute of Virology	Human
272	KM210277	KM210277.1	England/4/2013	2013-02-13	Europe	United Kingdom			30031	Homo sapiens	2015-01-18	2015-01-18		Galiano,M.,Myers,R.,Bermingham,A.,Gopal,R.,Zambon,M.	Galiano et al	Microbiology Services, Public Health England, Virus Reference Department	Human
