accession	accession_version	length	database	sra_accessions	strain	region	location	date	date_released	date_updated	host	sample_type	biosample_accessions	authors	institution	submitter_country	country	division	abbr_authors
KF192507	KF192507.1	30123	GenBank		KF192507	Asia		2013-XX-XX	2013-06-10	2014-07-24	Homo sapiens			Drosten,C.,Seilmaier,M.,Corman,V.M.,Hartmann,W.,Scheible,G.,Sack,S.,Guggemos,W.,Kallies,R.,Muth,D.,Junglen,S.,Muller,M.A.,Haas,W.,Guberina,H.,Rohnisch,T.,Schmid-Wendtner,M.,Aldabbagh,S.,Dittmer,U.,Gold,H.,Graf,P.,Bonin,F.,Rambaut,A.,Wendtner,C.M.	University of Bonn Medical Center, Institute of Virology	Germany	United Arab Emirates		Drosten et al
KF600612	KF600612.1	30063	GenBank		Riyadh_1_2012	Asia		2012-10-23	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Ong,S.H.,Al Rabeeah,A.A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600613	KF600613.1	30064	GenBank		Riyadh_3_2013	Asia		2013-02-05	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600614	KF600614.1	2151	GenBank		Al-Hasa_10e_2013	Asia		2013-05-02	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600615	KF600615.1	6673	GenBank		Al-Hasa_14a_2013	Asia		2013-05-08	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600616	KF600616.1	3787	GenBank		Al-Hasa_13b_2013	Asia		2013-05-07	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600617	KF600617.1	2102	GenBank		Al-Hasa_22a_2013	Asia		2013-05-09	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600618	KF600618.1	1933	GenBank		Al-Hasa_8a_2013	Asia		2013-05-01	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600619	KF600619.1	881	GenBank		Al-Hasa_22d_2013	Asia		2013-05-09	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600620	KF600620.1	30056	GenBank		Bisha_1_2012	Asia		2012-06-19	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600621	KF600621.1	2042	GenBank		Al-Hasa_22f_2013	Asia		2013-05-09	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600622	KF600622.1	3138	GenBank		Al-Hasa_9d_2013	Asia		2013-05-01	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600623	KF600623.1	9142	GenBank		Al-Hasa_7b_2013	Asia		2013-05-01	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600624	KF600624.1	1752	GenBank		Al-Hasa_10c_2013	Asia		2013-05-02	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600625	KF600625.1	2101	GenBank		Al-Hasa_22b_2013	Asia		2013-05-09	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600626	KF600626.1	11638	GenBank		Al-Hasa_8c_2013	Asia		2013-05-01	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600627	KF600627.1	30076	GenBank		Al-Hasa_12_2013	Asia		2013-05-07	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600628	KF600628.1	30104	GenBank		Hafr-Al-Batin_1_2013	Asia		2013-06-04	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600629	KF600629.1	2169	GenBank		Al-Hasa_11a_2013	Asia		2013-05-03	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600630	KF600630.1	30081	GenBank		Buraidah_1_2013	Asia		2013-05-13	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600631	KF600631.1	4099	GenBank		Al-Hasa_22e_2013	Asia		2013-05-09	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600632	KF600632.1	30108	GenBank		Al-Hasa_19_2013	Asia		2013-05-23	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600633	KF600633.1	2880	GenBank		Al-Hasa_22c_2013	Asia		2013-05-09	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600634	KF600634.1	30063	GenBank		Al-Hasa_21_2013	Asia		2013-05-30	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600635	KF600635.1	2489	GenBank		Al-Hasa_8d_2013	Asia		2013-05-01	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600636	KF600636.1	15461	GenBank		Al-Hasa_11c_2013	Asia		2013-05-03	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600637	KF600637.1	1935	GenBank		Al-Hasa_13c_2013	Asia		2013-05-07	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600638	KF600638.1	6169	GenBank		Al-Hasa_8b_2013	Asia		2013-05-01	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600639	KF600639.1	2044	GenBank		Al-Hasa_9e_2013	Asia		2013-05-01	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600640	KF600640.1	1752	GenBank		Al-Hasa_13e_2013	Asia		2013-05-07	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600641	KF600641.1	361	GenBank		Al-Hasa_10d_2013	Asia		2013-05-02	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF600642	KF600642.1	4174	GenBank		Al-Hasa_10b_2013	Asia		2013-05-02	2013-09-17	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
